name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
ivan cavaleiro,ligue 1,lille,Attacker,Off-Ball Disruptor,773.0,1.0,0.1164294954721863,40.0,6.0,0.6985769728331177,1.0,0.1164294954721863,55.56,55.56,55.56,1.3971539456662354,29.456662354463127,73.4,73.4,0.2283633219984971,-2.152947791261284,0.5165870482501227,0.2019605544848443,0.995859312075519,-0.3627887562228128,0.5380046361335938
ângelo,ligue 1,strasbourg,Attacker,Creative Technician,1089.0,0.0,0.0,47.85,7.0,0.5785123966942148,3.0,0.2479338842975206,56.6,56.6,56.6,2.231404958677686,31.15702479338843,70.4,70.4,1.89184209987024,-2.979807589161996,-0.3641260871817565,-0.7781031199110653,0.3007046651431866,-0.0622000397653064,0.3175472536959871
e. sabbi,ligue 1,le havre,Attacker,Disruptive Presser,1588.0,5.0,0.2833753148614609,43.32,24.0,1.3602015113350123,1.0,0.0566750629722921,35.09,35.09,35.09,0.5667506297229219,19.269521410579344,70.1,70.1,-1.921088345474812,-0.4373853334065284,0.1949224574835039,0.2845564687586562,-0.5764492544613401,0.5996629459838567,0.443438917980833
m. daramy,ligue 1,reims,Attacker,Creative Technician,1656.0,4.0,0.217391304347826,53.07,24.0,1.3043478260869563,5.0,0.2717391304347826,58.43,58.43,58.43,1.25,27.065217391304348,76.1,76.1,1.6505568267051132,-1.203530026870158,-1.0415108254557677,0.7393024790530907,0.1871194542678579,1.2100896893237272,0.29020586818061
j. ito,ligue 1,reims,Attacker,Creative Technician,2722.0,3.0,0.0991917707567964,45.97,31.0,1.0249816311535636,7.0,0.2314474650991917,54.0,54.0,54.0,2.645113886847906,29.72446730345334,65.5,65.5,1.7775677440520408,-2.152145160553185,-0.5720707444144606,-1.6183092202959648,0.1144473967963703,-0.8279728623844317,0.1750232357702388
keito nakamura,ligue 1,reims,Attacker,Off-Ball Disruptor,1389.0,4.0,0.2591792656587472,41.18,30.0,1.9438444924406049,1.0,0.0647948164146868,59.38,59.38,59.37,0.9071274298056154,24.03887688984881,73.0,73.0,-0.365046388322632,-0.16417299662617,-0.4546033043643314,1.0642707679711678,0.9177304213440416,-0.6055837135755734,-0.2675820251237907
o. diakité,ligue 1,reims,Attacker,Disruptive Presser,1589.0,5.0,0.2831969792322215,36.63,30.0,1.6991818753933292,1.0,0.0566393958464443,42.37,42.37,42.37,0.8495909376966646,17.10509754562618,78.4,78.4,-1.5322883534600815,0.0624378352045762,0.9751663057283688,0.7480098048901668,0.8192843724256419,0.2445456453932983,-0.3891195697757985
s. nicholson,ligue 1,clermont foot,Attacker,Disruptive Presser,1487.0,4.0,0.242098184263618,42.65,30.0,1.8157363819771355,3.0,0.1815736381977135,32.0,32.0,32.0,1.089441829186281,22.93880295897781,70.5,70.5,-0.745984189657335,-0.068256314350441,0.4925783099675171,-0.6628606825249325,-0.7975418977761031,0.7710891951803994,-0.3725563398910747
e. nuamah,ligue 1,lyon,Attacker,Off-Ball Disruptor,1846.0,3.0,0.1462621885157096,39.1,27.0,1.3163596966413869,2.0,0.0975081256771397,44.74,44.74,44.74,1.4138678223185264,29.7887323943662,77.3,77.3,0.0791143717375069,-1.1749411975204844,1.3512602395925606,0.3279769579255159,0.2595207320879352,-0.2833744769561708,-0.1186400359005003
mousa tamari,ligue 1,montpellier,Attacker,Off-Ball Disruptor,1943.0,5.0,0.2316006176016469,48.08,35.0,1.6212043232115287,2.0,0.0926402470406587,41.9,41.9,41.9,0.9264024704065876,23.53062274832733,72.7,72.7,-0.527754637693385,-0.5525267298366019,-0.1888619975708028,0.678379060068452,-0.7733540603056428,0.4226564445224199,0.105333420573618
