name,team_clean,league,position,minutes,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc
Mostafa Mohamed,nantes,Ligue 1,Attacker,2015.0,0.18052554814721364,0.6126521019344703,-0.502327830466788,-0.4825395251988617,-1.2762425295526743,-1.1661364234460574,-0.06526391309054494,0.38494392466109834
F. Balogun,monaco,Ligue 1,Attacker,1696.0,0.2532551653289708,0.8604652251881023,1.1635014075378733,0.13138107858830278,-0.8600226547115495,0.007364071934573858,-1.8064091152333133,-2.014364098911502
C. Sabaly,metz,Ligue 1,Attacker,1382.0,-0.6523482959826102,-1.2190073967819197,-0.731445530923491,-1.2510918754333715,-0.17075110407770963,0.9801342194211523,0.09576685704982608,0.45349558247745814
E. Kroupi,lorient,Ligue 1,Attacker,1076.0,0.49369594768194336,-0.4024570825122957,1.0271986475724855,-0.6693190070148264,-0.4667115198271387,0.825726259502648,2.068393791269379,-1.0546408894824615
M. Bamba,lorient,Ligue 1,Attacker,1149.0,1.5655285483571297,0.88580846284356,0.8763047305350864,-0.3618003107732216,-0.7029607292835028,0.03824566391827514,-0.6892581473844844,-0.7804342582170213
M. Bayo,le havre,Ligue 1,Attacker,1394.0,0.0030592895779528693,0.6237222978212682,-0.7367515688133638,-0.8100086399770767,-0.7278728699291116,-1.1198140354705066,-0.14577929816073046,-0.18060725232387245
J. David,lille,Ligue 1,Attacker,2640.0,1.6740170121281979,0.6589281764700955,-0.057157987622471484,-0.3717239131621541,-0.3661612381414794,1.5360028751277666,-0.20616583696336993,-0.5062276269515811
A. Joujou,le havre,Ligue 1,Attacker,766.0,-1.6570823585978132,-0.706122317291842,0.8763047305350864,-0.43002507719713207,0.4911088659020052,-0.1933662759594812,-0.8200956481235367,-1.226020034023363
A. Nordin,montpellier,Ligue 1,Attacker,1253.0,0.18987491000315893,-0.17441997771748796,0.691699750791641,0.35551259654409656,0.04922264278345205,0.9029302394619002,2.340133215881255,2.664286547055068
T. Dallinga,toulouse,Ligue 1,Attacker,2517.0,0.9173574034838919,0.7817669001370544,-0.6709580340964126,-1.150898205144651,-0.44571629623251263,-0.7801165236497969,1.2733043637012937,1.875942482166929
Vítinha,marseille,Ligue 1,Attacker,921.0,-0.1494358064434038,1.2090343649991728,0.5019931947788714,0.7920204946761082,-0.8408210987602222,0.19265362383677936,0.38763512792925015,-0.02636602223706145
Kylian Mbappé,paris sg,Ligue 1,Attacker,2159.0,4.131191041498481,3.3306646389593344,1.4140529788377028,0.6325938299528653,1.98888853554614,1.6904108350462708,0.3473774353941574,0.45349558247745814
M. Terrier,rennes,Ligue 1,Attacker,1533.0,0.4563765067510618,-0.5088184371706899,0.31918285278458336,-0.6357674745733485,0.5796666475410257,1.149982975331506,0.09576685704982608,1.053322588370608
A. Adams,montpellier,Ligue 1,Attacker,2264.0,-0.02157885502394906,0.7435964485845551,-0.9715742129722698,-1.0256055911556883,-1.3905645570764533,-1.104373239478655,-1.2126081503406925,-0.8318480015792921
E. Wahi,lens,Ligue 1,Attacker,1700.0,0.7932867141096177,1.3891395183275475,0.1554233287827455,-0.7965124695401632,-1.374351723399982,0.06912725590197642,-0.025006220555452187,-1.671605809829702
I. Sarr,marseille,Ligue 1,Attacker,1448.0,-0.6981441855769496,-0.9886680427716752,1.0053291363996544,-0.10661706840312493,0.37107884981138084,0.5786735236330399,-1.0314485339327746,0.7448401281969874
I. Ndiaye,marseille,Ligue 1,Attacker,1624.0,-0.8020685195989152,-0.8413972234856139,0.22577263493302835,-0.14821982278112708,0.7506163966290692,1.64408844707072,1.3437553256377066,0.23070269457428857
Ivan Cavaleiro,lille,Ligue 1,Attacker,773.0,-1.0583145817395938,-1.9108823514175985,-0.24583323656648334,0.16175637024442163,0.6687089109815223,0.2080944198286311,0.9512428234205516,-0.574779284767942
Ângelo,strasbourg,Ligue 1,Attacker,1089.0,-1.6570823585978132,-2.1142282162499924,0.9988466036112338,1.6150263923857116,0.9087164625653177,-0.2551294599268816,1.0518870547582824,0.7791159571051679
S. Nicholson,clermont foot,Ligue 1,Attacker,1487.0,-0.4120319443102446,-0.018819317394781668,0.370751516842924,-0.37427989145062823,-0.2512922836264871,-0.23968866393503202,-1.4239610361499302,-0.1291935089616017
M. Daramy,reims,Ligue 1,Attacker,1656.0,-0.5390932486668869,-0.884926136799804,1.224161592884126,-0.09458664227957131,0.3311544948078112,0.6249959116085908,1.233046671166201,1.6702875087178486
E. Sabbi,le havre,Ligue 1,Attacker,1588.0,-0.19975398482135365,-0.7903302426894329,-0.8114047597546898,-1.2848109416619478,-0.769214380905537,-0.3014518479024346,-1.1119639190029609,-0.00922810778297242
E. Nuamah,lyon,Ligue 1,Attacker,1846.0,-0.9048925024037663,-0.864582382757649,-0.42492267793655697,0.19087203868677843,0.7155808692222859,0.8102854635107963,-0.14577929816073046,-0.7290205148547518
Joselu,real madrid,La Liga,Attacker,1674.0,1.107836945532436,1.276658851514796,-0.3300958528995218,-1.1482191237456114,-0.8558255727531728,0.0228048679264256,0.005187048845867917,1.2589775618196888
José Arnáiz,osasuna,La Liga,Attacker,921.0,-0.6519846571615407,0.2160221682697618,-0.42291853550906455,0.11110621349414629,0.23505159657612298,0.19265362383677936,-0.7697735324546706,-0.2491589101402322
Adri Embarba,almeria,La Liga,Attacker,2485.0,-1.0983127511393784,-0.33376426258210257,-0.6622417719578136,1.0717159685258015,0.2529356280695641,-0.9962876675357036,-0.43764756904015456,0.29925435239064835
Carles Pérez,celta vigo,La Liga,Attacker,771.0,-1.056761357934514,-0.32620628156562387,-0.24297461911063278,-0.23862407878608302,0.39938972852862653,0.8566078514863471,-0.23635910636469004,-1.071778803936552
