name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
M. Guilavogui,lens,Ligue 1,Attacker,2,Creative Technician,0.0,0.5862301338901622,0.5193269531138249,0.5149145536492559,0.7887323408998217,0.2847812265841285,0.0,0.3254366211306332,0.3836395673146321
P. Dybala,roma,Serie A,Attacker,2,Creative Technician,0.558523173605656,0.7874856935369394,0.5139733227756828,0.752660536839762,0.3842514316782744,0.4370015234750644,0.840209155762706,0.7549846250616342,0.5873878837150245
A. Kalimuendo,rennes,Ligue 1,Attacker,3,Disruptive Presser,0.6276512175962294,0.2583955229540943,0.4414720253688659,0.793830682014584,0.736124097740637,0.6917377055129584,0.5749565928480214,0.6152231643770696,0.2101806733788533
G. Kyei,clermont foot,Ligue 1,Attacker,3,Disruptive Presser,0.1818538884524745,0.2379326016620456,0.3798140130312035,0.7524451133272159,0.6030404053940236,0.4749262167576361,0.6230820964760003,0.3387802778953312,0.5147047863782956
O. Diakité,reims,Ligue 1,Attacker,3,Disruptive Presser,0.4065200314218382,0.2118600804316612,0.3794310002320922,0.669674442647582,0.7643861432582624,0.6713288691214376,0.6807533070674104,0.5020938600779183,0.2907689499696227
W. Khazri,montpellier,Ligue 1,Attacker,3,Disruptive Presser,0.2270227808326787,0.2474065623508712,0.3968355611528785,0.5208753161365971,0.78400803913455,0.2828676161607567,0.4481150845153397,0.1863287459090429,0.6267361912968391
C. Immobile,lazio,Serie A,Attacker,3,Disruptive Presser,0.4340141398271799,0.2425691740187432,0.4792428811543039,0.6871796939559044,0.656852438903901,0.3386720446730868,0.6278389836874749,0.5716259589897577,0.4916029337839654
C. Ekuban,genoa,Serie A,Attacker,3,Disruptive Presser,0.2223095051060487,0.3020097357505439,0.3693013825674153,0.2406929098334549,0.6345189111455397,0.424101353615403,0.553183040468193,0.6325033176118521,0.2034005110606147
C. Ikwuemesi,salernitana,Serie A,Attacker,3,Disruptive Presser,0.197172034564022,0.1122075035403081,0.2200278195664922,0.454250404506792,0.5602649363999029,0.7779169936255497,0.5946617086838248,0.4602919837880531,0.6523771642807753
S. Nwankwo,salernitana,Serie A,Attacker,3,Disruptive Presser,0.0498821681068342,0.1314037677656068,0.3563451594335865,0.348404818185122,0.6300292092663236,0.6207586959408097,0.4329609792359649,0.8424576184785224,0.6503870102537995
L. Lucca,udinese,Serie A,Attacker,3,Disruptive Presser,0.8043990573448547,0.1571907773593548,0.3662572359221292,0.2862382430866785,0.4571074253851286,0.391682575652634,0.756566702454897,0.6009859109532267,0.5738240144649498
G. Simeone,napoli,Serie A,Attacker,3,Disruptive Presser,0.0923016496465043,0.2989007728574275,0.4952951805776518,0.3060895575855354,0.8585116387310874,0.3738088915697439,0.3177267642181884,0.0,0.5241077012310497
R. Lukaku,roma,Serie A,Attacker,3,Disruptive Presser,0.8224666142969363,0.2775703005123491,0.411906747131797,0.4940341488020803,0.6338623550569749,0.6018187508171137,0.631929657266915,0.7633486071212863,0.4755761980765435
A. Cerri,empoli,Serie A,Attacker,3,Disruptive Presser,0.0,0.0014166694325914,0.1911004976471075,0.4178333427320397,0.297743940984983,0.0,0.5901391639487463,0.905461231223857,0.720364092355812
